"timestamp","asset","open","close","high","low","3_month_return","1_year_return","bse_return","market_cap","enterprise_value","trading_volume","30d_avg_trading_volume","btc_price","btc_holdings","btc_nav","m_nav","debt","debt_by_btc_nav","pref","pref_by_btc_nav","debt_pref_by_btc_nav","implied_volatility","30d_historical_volatility","1y_historical_volatility","open_interest"
2025-12-11 00:00:00,"MSTR",179.79,183.3,183.5,171.41,-0.43776455432182065,-0.5544482255712202,13.827697783530175,55136640000,69765844900,3581668252.5,4081987707.1768184,92411.99,660624,61049578481.76,1.142773572480016,8244000000,0.11145040095621389,7825204900,0.12817786943996615,0.2632156568419396,0.74894669,0.6905921460583802,0.7756877493277,58663756239
2025-12-10 00:00:00,"MSTR",189.32,184.64,191.07,182.2,-0.434400367590749,-0.5106540867168451,13.936094483093349,55539711999.99999,70168916900,4146783230.72,4022632598.601364,90443,660624,59748816432,1.1743984415132154,8244000000,0.11387673273400516,7825204900,0.1309683666940223,0.2689459952447481,0.78480663,0.7182003544872565,0.7808863167481063,58525401271.2
2025-12-09 00:00:00,"MSTR",181.49,188.99,198.3999,179.92,-0.42474051076005226,-0.48270104560135757,14.287979291376802,56848192000,71477396900,4586712837.940001,4016720663.738572,92568.27,660624,61152820800.48,1.1688323770575593,8244000000,0.11126224286855127,7825204900,0.12796147091122537,0.2627712784080415,0.77088762,0.7199606291990825,0.7814071906183565,60424974426.6
2025-12-08 00:00:00,"MSTR",182.1,183.69,185.59,178,-0.4431949075477417,-0.5349737981316929,13.85924607668662,55253952000,69883156900,2999316036.6,3988221055.0285006,89929.88,660624,59409837045.12,1.1762893213614747,8244000000,0.1145264881779185,7825204900,0.13171564322011167,0.27048054159441504,0.76709265,0.7111627918362854,0.7823514080313987,56064688124.4
2025-12-05 00:00:00,"MSTR",183.335,178.99,185.39,176.3,-0.4670854795009974,-0.5367753623188405,13.479048697621746,52920720370,67502510370,3714161707.34,3944156157.0900006,89670.38,650000,58285747000,1.1581306553384312,8244000000,0.11673522859713885,7777790000,0.1334424005923781,0.27488349767568393,0.7207823,0.7093533430928255,0.7842969854708063,59180539768.8
2025-12-04 00:00:00,"MSTR",186.02,186.01,191,182.35,-0.4321865746817668,-0.5418472906403942,14.046917974437793,54996274630,69578064630,3064409840.3599997,3951986057.2886367,92046.89,650000,59830478500,1.1629200764289391,8244000000,0.11372130343233006,7777790000,0.129997121784677,0.26778642594342617,0.77895121,0.7117880011142282,0.7848774672525483,59158316882.5
2025-12-03 00:00:00,"MSTR",183.4,188.39,190.44,177.82,-0.429570641312905,-0.4955145542671987,14.239443455751497,55699952569.99999,70281742570,5027401914.599999,3945927509.6704545,93377.02,650000,60695063000,1.1579482596467525,8244000000,0.11210137470324398,7777790000,0.1281453484939953,0.26397188186459253,0.81094493,0.7169851813805203,0.7896311033995528,58282564171
2025-12-02 00:00:00,"MSTR",177.75,181.33,188.37,176.89,-0.469205550026345,-0.5231922166710492,13.668338456560429,53612571790,68194361790,5672991373.820001,3894428728.483333,93376.01,650000,60694406500,1.1235691346615277,8244000000,0.13582800253595032,7777790000,0.12814673457594483,0.2639747371118951,0.81889717,0.71900389400223,0.7887025124410421,56743004223
2025-12-01 00:00:00,"MSTR",168.26,171.42,172.175,155.61,-0.4873957118507222,-0.5575915554752626,12.866688238149166,50682551460,65264341460,7360808398.32,3805500596.2164993,86971,650000,56531150000,1.154484588762125,8244000000,0.14583110373661248,7777790000,0.13758414608583056,0.28341524982244304,0.86748844,0.6918974655004984,0.788028393895487,47696818314.6
2025-11-28 00:00:00,"MSTR",182.99,177.18,187.29,175.0501,-0.4770983354975799,-0.5443370023660117,13.33263226015208,50920823280,66889538280,2677944763.98,3604915866.449091,90865.7,649870,59050892459,1.1327439009739353,8244000000,0.139608389589098,7779000000,0.13173382612974202,0.27134221571884,0.67151061,0.7012434730562844,0.7876077592678808,54766765064
