"timestamp","asset","open","close","high","low","implied_volatility","open_interest","3_month_return","1_year_return","life_return","notional","market_cap","trading_volume","30d_avg_trading_volume","dividend","effective_yield","30d_historical_volatility","1y_historical_volatility","next_record_date","next_payout_date","mstr_correlation","btc_correlation","spy_correlation","sppref_correlation"
2026-06-03 00:00:00,"STRF",97.3,96.51,97.3,96.38,0.2009328,9609086,-0.009899999999999949,0.006121592452830238,0.25469280941176475,1283968900,1239158385.39,11076463.87383129,9049313.254236035,0.1,0.10361620557455185,0.1149184509180488,0.25611612459877076,"2026-06-15","2026-06-30",0.6215233841216108,0.6171588014503676,0.3819383161165318,0.4442398786193401
2026-06-02 00:00:00,"STRF",98.55,96.8,98.7761,96.64,0.23996936,9496300,-0.01614980679678995,0.02324073103052332,0.25810457411764703,1283968900,1242881895.2,15587734.2414816,9126509.542649176,0.1,0.10330578512396695,0.11487376159212043,0.2565153847398966,"2026-06-15","2026-06-30",0.6200827966049609,0.6184851174718012,0.37255038932338075,0.44542895685002093
2026-06-01 00:00:00,"STRF",98.4,98.85,99.75,98.39,0.14927346,9779088.9,0.02830762987012979,0.052117856935997596,0.2822222211764705,1283968900,1269203257.6499999,7444591.99801605,9000610.063524766,0.1,0.10116337885685382,0.09059497522474368,0.2561856008457155,"2026-06-15","2026-06-30",0.6074657091573233,0.6051613925032964,0.3787591152763545,0.45126686306683467
2026-05-29 00:00:00,"STRF",100.3,98.5,101.2,98.5,0.14040241,9973199.6,0.024756493506493484,0.06009844652615141,0.27810457411764705,1283968900,1264709366.5,39267619.780036,8929631.201457854,0.1,0.10152284263959391,0.08916593785792598,0.25604267123768315,"2026-06-15","2026-06-30",0.6162732470952713,0.6104751396083916,0.37567546405960356,0.4541840573099617
2026-05-28 00:00:00,"STRF",100.7,100.49,101.34,100.2,0.14376258,10000634,0.04494724025974019,0.08983241848093773,0.30151633882352935,1283968900,1290260347.61,10155170.91866771,7349218.202308463,0.1,0.09951238929246692,0.05660304220742006,0.2554440130977392,"2026-06-15","2026-06-30",0.6459412449575037,0.6212672401280592,0.3930850336378872,0.477440800798539
2026-05-27 00:00:00,"STRF",100.59,101.26,101.4682,100.59,0.15162978,10066735,0.052759740259740284,0.09839172549792943,0.31057516235294125,1283968900,1300146908.14,6663093.51014268,7065321.335512061,0.1,0.09875567845151095,0.05267490555511914,0.25533136097721076,"2026-06-15","2026-06-30",0.6527380694073892,0.6410571776547928,0.45073783758940494,0.4919810245505936
2026-05-26 00:00:00,"STRF",101.49,101.1,101.7876,100.7,0.16783484,10044294.3,0.026352288488210786,0.11072280379430842,0.30869280941176463,1283968900,1298092557.8999999,7353211.2317271,6889447.944668442,0.1,0.09891196834817013,0.05600185198297195,0.2558385554710005,"2026-06-15","2026-06-30",0.6557259688555653,0.6421427275608178,0.4500764889741042,0.49064145206112647
2026-05-22 00:00:00,"STRF",101.07,101.49,101.49,100.65,0.16797379,10035667.2,0.030011885895404135,0.12302705030181076,0.3132810447058823,1283968900,1303100036.61,7680863.91695067,6788096.889944922,0.1,0.09853187506158242,0.0539165698651294,0.2557184595976437,"2026-06-15","2026-06-30",0.6514356760915414,0.6393805444077554,0.45365439299827676,0.49433290362416765
2026-05-21 00:00:00,"STRF",100.4,100.75,100.97,100.31,0.16,9951318,0.022682250396196577,0.1017276582215598,0.3045751623529412,1283968900,1293598666.75,5392749.48238975,6817646.414897244,0.1,0.09925558312655088,0.0501571797367708,0.25592402822425503,"2026-06-15","2026-06-30",0.6550698810485921,0.640923081288322,0.4518779283393804,0.4906864907545576
2026-05-20 00:00:00,"STRF",100.1,100.435,100.63,100.1,0.14853933,11617437,0.019562202852614983,0.11916891497975714,0.30086928,1283968900,1289554164.715,4531512.608184575,6944274.2320780475,0.1,0.09956688405436352,0.05010994990063245,0.2565795375567032,"2026-06-15","2026-06-30",0.6498999544802688,0.636578767225741,0.45157105483640847,0.4903986538619474
